iso3c,percentile,income
AZE,67,20.06
AZE,68,20.31
AZE,69,20.55
AZE,70,20.77
AZE,71,21.06
AZE,72,21.34
AZE,73,21.71
AZE,74,21.99
AZE,75,22.25
AZE,76,22.62
AZE,77,23.02
AZE,78,23.43
AZE,79,23.84
AZE,80,24.28
AZE,81,24.87
AZE,82,25.43
AZE,83,25.97
AZE,84,26.53
AZE,85,27.01
AZE,86,27.68
AZE,87,28.32
AZE,88,29.08
AZE,89,30.11
AZE,90,31.25
AZE,91,32.49
AZE,92,33.78
AZE,93,35.31
AZE,94,37.17
AZE,95,39.48
AZE,96,42.44
AZE,97,45.73
AZE,98,51.24
AZE,99,61.57
AZE,100,110.89
BDI,1,0.43
BDI,2,0.59
BDI,3,0.68
BDI,4,0.74
BDI,5,0.8
BDI,6,0.85
BDI,7,0.88
BDI,8,0.92
BDI,9,0.95
BDI,10,0.98
BDI,11,1.01
BDI,12,1.04
BDI,13,1.07
BDI,14,1.1
BDI,15,1.13
BDI,16,1.16
BDI,17,1.18
BDI,18,1.2
BDI,19,1.23
BDI,20,1.26
BDI,21,1.27
BDI,22,1.3
BDI,23,1.32
BDI,24,1.35
BDI,25,1.38
BDI,26,1.4
BDI,27,1.42
BDI,28,1.45
BDI,29,1.47
BDI,30,1.5
BDI,31,1.53
BDI,32,1.56
BDI,33,1.59
BDI,34,1.62
BDI,35,1.65
BDI,36,1.67
BDI,37,1.7
BDI,38,1.72
BDI,39,1.75
BDI,40,1.78
BDI,41,1.81
BDI,42,1.84
BDI,43,1.86
BDI,44,1.88
BDI,45,1.91
BDI,46,1.94
BDI,47,1.97
BDI,48,2
BDI,49,2.04
BDI,50,2.08
BDI,51,2.1
BDI,52,2.13
BDI,53,2.17
BDI,54,2.2
BDI,55,2.23
BDI,56,2.26
BDI,57,2.29
BDI,58,2.31
BDI,59,2.35
BDI,60,2.39
BDI,61,2.43
BDI,62,2.47
BDI,63,2.52
BDI,64,2.56
BDI,65,2.61
BDI,66,2.66
BDI,67,2.7
BDI,68,2.75
BDI,69,2.81
BDI,70,2.87
BDI,71,2.91
BDI,72,2.96
BDI,73,3.02
BDI,74,3.08
BDI,75,3.14
BDI,76,3.21
BDI,77,3.28
BDI,78,3.36
BDI,79,3.43
BDI,80,3.51
BDI,81,3.59
BDI,82,3.69
BDI,83,3.8
BDI,84,3.92
BDI,85,4.02
BDI,86,4.15
BDI,87,4.29
BDI,88,4.44
BDI,89,4.63
BDI,90,4.79
BDI,91,5.02
BDI,92,5.31
BDI,93,5.61
BDI,94,5.96
BDI,95,6.36
BDI,96,6.97
BDI,97,7.69
BDI,98,8.79
BDI,99,10.93
BDI,100,18.64
BEL,1,12.91
BEL,2,20.45
BEL,3,23.35
BEL,4,25.43
BEL,5,26.66
BEL,6,28
BEL,7,29.7
BEL,8,30.87
BEL,9,32.1
