hex_id,pop,light
8658086b7ffffff,2033,31
8658086c7ffffff,10428,33
8658086cfffffff,7135,31
8658086d7ffffff,8950,32
8658086dfffffff,9125,34
8658086e7ffffff,12344,33
8658086efffffff,48667,127
8658086f7ffffff,5913,32
86580879fffffff,2464,29
86580900fffffff,618,30
865809017ffffff,650,27
86580901fffffff,683,31
86580904fffffff,1485,32
865809057ffffff,1190,30
86580905fffffff,1942,31
865809087ffffff,1133,30
86580908fffffff,746,29
865809097ffffff,915,28
86580909fffffff,958,30
8658090a7ffffff,848,30
8658090afffffff,761,28
8658090b7ffffff,1145,30
8658090c7ffffff,1105,32
8658090cfffffff,1505,30
8658090d7ffffff,969,31
8658090dfffffff,1768,32
8658090e7ffffff,705,30
8658090efffffff,941,31
8658090f7ffffff,699,32
86580919fffffff,1074,29
865809207ffffff,1421,32
86580920fffffff,1368,31
865809217ffffff,938,30
86580921fffffff,1292,32
865809227ffffff,2077,31
86580922fffffff,1105,31
865809237ffffff,916,31
865809247ffffff,1377,31
86580924fffffff,1121,32
865809257ffffff,917,32
86580925fffffff,896,31
865809267ffffff,1838,33
86580926fffffff,2502,34
865809277ffffff,1223,33
865809287ffffff,1360,30
86580928fffffff,1840,32
865809297ffffff,2606,30
86580929fffffff,1504,30
8658092a7ffffff,1304,28
8658092afffffff,1628,30
8658092b7ffffff,1577,30
8658092c7ffffff,2723,32
8658092cfffffff,1812,32
8658092d7ffffff,1788,30
8658092dfffffff,3039,30
8658092e7ffffff,1423,31
8658092efffffff,1378,32
8658092f7ffffff,1609,31
865809307ffffff,1556,33
86580930fffffff,1742,32
865809317ffffff,1439,30
86580931fffffff,1635,33
86580932fffffff,2682,32
865809337ffffff,817,31
865809347ffffff,1248,33
86580934fffffff,2075,34
865809357ffffff,1936,31
86580935fffffff,921,33
865809367ffffff,1557,34
86580936fffffff,990,34
865809377ffffff,2781,32
865809387ffffff,1130,30
86580938fffffff,1803,32
865809397ffffff,1286,31
86580939fffffff,1825,32
8658093a7ffffff,1212,31
8658093afffffff,913,30
8658093b7ffffff,1635,32
865809407ffffff,2394,29
86580940fffffff,2609,29
865809417ffffff,2744,30
86580941fffffff,3032,30
865809427ffffff,2410,32
86580942fffffff,2799,30
865809437ffffff,2304,32
865809447ffffff,3615,35
86580944fffffff,4559,38
865809457ffffff,2866,31
86580945fffffff,2880,32
865809467ffffff,1876,28
86580946fffffff,1514,31
865809477ffffff,2044,30
865809487ffffff,3350,33
86580948fffffff,3602,31
865809497ffffff,2804,30
86580949fffffff,2840,32
8658094a7ffffff,2590,30
8658094afffffff,3383,29
8658094b7ffffff,3683,30
8658094c7ffffff,4116,30
8658094cfffffff,4115,30
8658094d7ffffff,3681,32
8658094dfffffff,4860,31
8658094e7ffffff,2867,30
8658094efffffff,3987,31
8658094f7ffffff,3683,32
86580950fffffff,2991,36
86580951fffffff,2568,30
865809547ffffff,2158,33
86580954fffffff,1258,28
865809557ffffff,6854,75
86580955fffffff,2001,30
86580956fffffff,1401,29
865809577ffffff,3089,31
865809587ffffff,2956,30
86580958fffffff,2214,29
865809597ffffff,2274,30
86580959fffffff,1839,29
8658095afffffff,2688,30
865809607ffffff,62915,382
86580960fffffff,24366,138
865809617ffffff,11167,49
86580961fffffff,30235,164
865809627ffffff,5347,32
86580962fffffff,6754,34
865809637ffffff,8187,33
865809647ffffff,6001,35
86580964fffffff,3057,33
865809657ffffff,9314,46
86580965fffffff,3990,34
865809667ffffff,2927,29
86580966fffffff,3091,32
865809677ffffff,5311,34
865809687ffffff,7352,38
86580968fffffff,22265,172
865809697ffffff,9025,170
86580969fffffff,9046,35
8658096a7ffffff,9143,32
8658096afffffff,7970,31
8658096b7ffffff,7303,43
8658096c7ffffff,5111,31
8658096cfffffff,7466,29
8658096d7ffffff,6183,40
8658096dfffffff,3702,36
8658096e7ffffff,8751,39
8658096efffffff,7399,32
8658096f7ffffff,7639,31
865809707ffffff,3906,31
86580970fffffff,4465,34
865809717ffffff,5628,36
86580971fffffff,6101,33
865809727ffffff,1618,30
86580972fffffff,3140,32
865809737ffffff,2593,35
865809747ffffff,2820,30
86580974fffffff,2236,30
865809757ffffff,4755,31
