iso3c,year,urb_pop,gdp
BWA,2007,60.78223083,5529.125746
BWA,2003,56.09792335,4230.123269
BWA,2016,65.69492969,6749.059943
BWA,2009,62.7501883,5082.933883
BWA,2010,63.49459747,6215.732161
BWA,2024,67.46235378,7695.753194
BWA,2008,61.83215937,5503.073953
BWA,2021,66.51827671,7807.887946
BWA,2019,66.32716948,7172.089565
BWA,2006,59.64212281,5291.583791
BWA,2002,55.01429886,3117.250872
BWA,2014,65.09651224,7122.364234
BWA,2022,66.58897872,8328.709057
BWA,2001,54.04898944,3206.071237
BWA,2023,67.02126553,7826.353765
BWA,2020,66.44881665,6323.297497
BWA,2018,66.15791765,7407.959401
BWA,2013,64.75797355,6666.912196
BRA,2005,82.98387996,4827.781659
BRA,2010,84.34384604,11403.284
BRA,2014,85.43313679,12274.99416
BRA,2006,83.26721014,5934.145619
BRA,2007,83.53825713,7409.690038
BRA,2018,86.44207199,9300.660729
BRA,2020,86.91121865,7074.194075
BRA,2022,87.34955624,9281.332821
BRA,2017,86.19828976,10080.50787
BRA,2021,87.13607817,7972.536961
BRA,2002,81.99434915,2855.940171
BRA,2015,85.69356971,8936.195589
BRA,2023,87.61597102,10377.58977
BRA,2013,85.16765854,12458.89034
BRA,2011,84.62257586,13396.62632
BRA,2019,86.67979911,9029.833044
BRA,2016,85.94870484,8836.28546
BRA,2009,84.06983803,8678.658473
BRA,2004,82.68168248,3663.822625
BRA,2024,87.89585495,10310.54888
BRA,2003,82.35403358,3090.606891
BRA,2008,83.80360506,8908.333385
BRA,2001,81.59604506,3176.289751
BRA,2012,84.89738742,12521.72385
BRA,2000,81.14843654,3766.547863
VGB,2003,42.85260823,
VGB,2010,46.34278717,
VGB,2004,43.28604333,
VGB,2008,45.23705035,
VGB,2001,42.02354542,
VGB,2002,42.44091789,
VGB,2013,48.16398037,
VGB,2005,43.74121413,
VGB,2014,48.81436536,
VGB,2020,53.17090748,
VGB,2012,47.53524965,
VGB,2024,56.5072069,
VGB,2009,45.77907352,
VGB,2011,46.92818222,
VGB,2006,44.2181116,
VGB,2017,50.89535528,
VGB,2022,54.79591169,
VGB,2023,55.64077745,
VGB,2018,51.63226672,
VGB,2007,44.71672669,
VGB,2000,41.98142541,
VGB,2019,52.39078714,
VGB,2021,53.97261868,
VGB,2016,50.18006186,
VGB,2015,49.48639554,
BRN,2005,73.55287086,29386.27038
BRN,2010,75.2506559,34937.55554
BRN,2011,75.3121255,46382.82743
BRN,2018,74.81724717,30988.11903
BRN,2019,74.79233118,30426.57307
BRN,2004,73.06750673,24423.0947
BRN,2009,75.07129709,30946.46738
BRN,2024,74.89831339,33153.47389
BRN,2014,75.05726398,41026.50842
BRN,2008,74.79294114,42156.56858
BRN,2015,74.94846206,30625.12877
BRN,2022,74.7772642,36632.9281
BRN,2023,74.81991939,32890.54918
BRN,2012,75.27142335,46968.59712
BRN,2003,72.57763565,20677.90011
BRN,2013,75.17569151,44003.06443
BRN,2002,72.10215565,18621.29226
BRN,2020,74.77481089,26834.35922
BRN,2007,74.4344861,36217.32907
BRN,2017,74.84764407,28024.38246
BRN,2006,74.01482999,34674.79952
BRN,2000,71.22468055,20130.25723
BRN,2016,74.88160706,26663.2973
BRN,2021,74.76673169,31006.96363
BRN,2001,71.65788334,18287.82723
BGR,2000,68.26314545,1621.262107
BGR,2023,73.73226716,15853.20864
BGR,2001,69.19671198,1770.907049
BGR,2007,70.68441772,5888.570814
BGR,2018,73.6002121,9849.383972
BGR,2019,73.7162323,10353.72046
BGR,2006,70.50752258,4523.146558
BGR,2017,73.39045715,8696.689304
BGR,2022,73.4799164,13999.19495
BGR,2009,71.30173492,6988.273163
BGR,2024,73.94993569,17596.01737
BGR,2021,73.34676562,12966.14575
BGR,2002,69.48591614,2092.982886
BGR,2008,70.90209961,7271.303389
BGR,2003,69.78084564,2719.494369
BGR,2010,71.51493073,6853.948055
BGR,2016,73.17500305,7822.499233
BGR,2015,73.10305786,7268.654455
BGR,2014,73.08448792,8069.600057
BGR,2004,69.91933441,3389.687434
BGR,2020,73.32398987,10760.21198
BGR,2005,70.08695984,3899.825963
BGR,2012,72.76848602,7431.957895
BGR,2013,72.96328216,7795.980921
BGR,2011,72.61016539,7849.580613
BFA,2004,21.33921808,403.8128374
