lng,lat,year,value
-48.2038,-7.1942,2000,84524
-36.6602,-9.749,2000,136477
-51.4335,-23.4065,2000,69060
-48.167,-21.7838,2000,142268
-47.3806,-22.3598,2000,67340
-49.3917,-25.5814,2000,65738
-46.9395,-19.5895,2000,71562
-50.4431,-21.2042,2000,157329
-37.0603,-8.4184,2000,54423
-63.0304,-9.9133,2000,54375
-50.423,-22.6595,2000,78589
-46.5695,-23.1269,2000,63689
-48.9192,-23.103,2000,63692
-47.4858,-4.9494,2000,65612
-44.7848,-4.2289,2000,67975
-54.104,-31.3269,2000,90381
-48.6421,-26.9999,2000,80726
-43.7716,-21.2171,2000,82019
-44.9945,-12.1385,2000,69641
-48.5664,-20.5549,2000,94677
-49.0744,-22.3198,2000,276289
-48.4833,-20.9433,2000,67802
-43.9917,-19.9006,2000,3463546
-48.4423,-1.3909,2000,1739761
-51.5137,-29.1628,2000,76622
-50.3332,-21.2912,2000,82620
-49.0885,-26.9064,2000,151891
-60.7212,2.8159,2000,145053
-48.443,-22.8838,2000,81278
-46.7708,-1.0567,2000,52956
-46.5426,-22.9386,2000,97380
-48.0785,-15.8344,2000,879502
-42.0353,-22.8646,2000,110025
-35.0361,-8.2916,2000,73484
-52.9008,-30.0308,2000,67821
-41.1273,-20.8457,2000,127010
-61.4538,-11.4293,2000,53598
-38.3277,-12.706,2000,95990
-35.8982,-7.232,2000,316702
-47.1204,-22.8956,2000,1170647
-54.6252,-20.4792,2000,568342
-47.1809,-22.949,2000,56578
-52.3788,-24.0338,2000,69068
-41.3196,-21.7519,2000,262573
-51.1762,-29.921,2000,282053
-42.1426,-19.7875,2000,53037
-35.2544,-7.8444,2000,55260
-35.9717,-8.2827,2000,210931
-53.4548,-24.9557,2000,222049
-47.9215,-1.2922,2000,80472
-42.693,-21.3883,2000,52595
-48.9668,-21.1368,2000,90690
-43.3552,-4.8657,2000,95817
-51.1849,-29.1677,2000,291184
-52.6167,-27.0963,2000,98038
-43.8893,-4.4593,2000,73870
-40.6361,-19.5303,2000,57473
-40.2608,-20.2046,2000,228083
-43.7864,-20.6644,2000,85951
-42.6224,-19.5078,2000,78938
-57.6439,-19.0167,2000,95317
-39.4125,-7.2326,2000,63557
-49.3833,-28.6867,2000,122269
-44.9583,-22.5717,2000,75162
