iso3c,group,year,value
NAC,urban,2021,297194013
NAC,rural,2021,73210259
SAS,urban,2021,564143122
SAS,rural,2021,1070642234
SSF,urban,2021,511362972
SSF,rural,2021,687648953
WLD,urban,2021,4499447586
WLD,rural,2021,3421067268
EAS,urban,2022,1515407392
EAS,rural,2022,864209726
ECS,urban,2022,681431309
ECS,rural,2022,242803162
LCN,urban,2022,527892484
LCN,rural,2022,125215636
MEA,urban,2022,431272934
MEA,rural,2022,351076432
NAC,urban,2022,299450931
NAC,rural,2022,73567073
SAS,urban,2022,573733964
SAS,rural,2022,1074275601
SSF,urban,2022,530470822
SSF,rural,2022,698737751
WLD,urban,2022,4559659836
WLD,rural,2022,3429885381
EAS,urban,2023,1526625239
EAS,rural,2023,857816246
ECS,urban,2023,682882375
ECS,rural,2023,241891148
LCN,urban,2023,532955465
LCN,rural,2023,124661052
MEA,urban,2023,442224975
MEA,rural,2023,355576479
NAC,urban,2023,302829623
NAC,rural,2023,74124790
SAS,urban,2023,584183689
SAS,rural,2023,1078396890
SSF,urban,2023,549806256
SSF,rural,2023,710083703
WLD,urban,2023,4621507622
WLD,rural,2023,3442550308
EAS,urban,2024,1537466422
EAS,rural,2024,850853072
ECS,urban,2024,686638130
ECS,rural,2024,241625078
LCN,urban,2024,538170132
LCN,rural,2024,124016256
MEA,urban,2024,452875437
MEA,rural,2024,360270699
NAC,urban,2024,306723593
NAC,rural,2024,74740630
SAS,urban,2024,594848506
SAS,rural,2024,1082536026
SSF,urban,2024,569986315
SSF,rural,2024,721058649
WLD,urban,2024,4686708535
WLD,rural,2024,3455100410
EAS,urban,2025,1547674728
EAS,rural,2025,841959235
ECS,urban,2025,687982546
ECS,rural,2025,240806962
LCN,urban,2025,543320146
LCN,rural,2025,123280935
MEA,urban,2025,462238586
MEA,rural,2025,364492190
NAC,urban,2025,308672816
NAC,rural,2025,74834371
SAS,urban,2025,605758654
SAS,rural,2025,1086765954
SSF,urban,2025,590733382
SSF,rural,2025,732051317
WLD,urban,2025,4746380858
WLD,rural,2025,3464190964
