iso3c,pop,survey_type,year
USA,340000000,agriculture,2024
USA,340000000,business,2024
UZB,36361859,poverty,2022
UZB,36361859,health,2022
UZB,36361859,labor_force,2020
UZB,36361859,agriculture,2023
UZB,36361859,business,2023
VCT,100616,poverty,2018
VCT,100616,health,2013
VCT,100616,labor_force,2015
VCT,100616,agriculture,
VCT,100616,business,
VEN,28405543,poverty,2006
VEN,28405543,health,2003
VEN,28405543,labor_force,2017
VEN,28405543,agriculture,
VEN,28405543,business,
VGB,39471,poverty,
VGB,39471,health,2009
VGB,39471,labor_force,
VGB,39471,agriculture,
VGB,39471,business,
VIR,104377,poverty,
VIR,104377,health,
VIR,104377,labor_force,
VIR,104377,agriculture,
VIR,104377,business,
VNM,101000000,poverty,2022
VNM,101000000,health,2013
VNM,101000000,labor_force,2023
VNM,101000000,agriculture,
VNM,101000000,business,2016
VUT,327777,poverty,2019
VUT,327777,health,2013
VUT,327777,labor_force,
VUT,327777,agriculture,
VUT,327777,business,2001
WSM,218019,poverty,2019
WSM,218019,health,2019
WSM,218019,labor_force,2022
WSM,218019,agriculture,2015
WSM,218019,business,2013
XKX,1594353,poverty,2018
XKX,1594353,health,2019
XKX,1594353,labor_force,2023
XKX,1594353,agriculture,2019
XKX,1594353,business,2019
YEM,40583164,poverty,2014
YEM,40583164,health,2013
YEM,40583164,labor_force,2014
YEM,40583164,agriculture,
YEM,40583164,business,2004
ZAF,64007187,poverty,2019
ZAF,64007187,health,2016
ZAF,64007187,labor_force,2024
ZAF,64007187,agriculture,2018
ZAF,64007187,business,
ZMB,21314956,poverty,2022
ZMB,21314956,health,2018
ZMB,21314956,labor_force,2023
ZMB,21314956,agriculture,2015
ZMB,21314956,business,
ZWE,16634373,poverty,2019
ZWE,16634373,health,2019
ZWE,16634373,labor_force,2023
ZWE,16634373,agriculture,2022
ZWE,16634373,business,
