iso3c,year,value
EGY,2022,8.1
EGY,2023,5.65
EGY,2024,4.76
ESP,2015,0
ESP,2016,0
ESP,2017,0
ESP,2018,0
ESP,2019,0
ESP,2020,0
ESP,2021,0.09
ESP,2022,0.05
ESP,2023,0.24
ESP,2024,0.16
EST,2015,4.55
EST,2016,4.5
EST,2017,4
EST,2018,3.38
EST,2019,2.94
EST,2020,3.17
EST,2021,2.99
EST,2022,3
EST,2023,2.91
EST,2024,2.87
ETH,2015,0.93
ETH,2016,0.92
ETH,2017,0.92
ETH,2018,2.23
ETH,2019,1.42
ETH,2020,1.04
ETH,2021,1.93
ETH,2022,3.62
ETH,2023,1.53
ETH,2024,1.16
FIN,2015,0
FIN,2016,0
FIN,2017,0.15
FIN,2018,0
FIN,2019,0.54
FIN,2020,0.51
FIN,2021,0.5
FIN,2022,0.48
FIN,2023,0.5
FIN,2024,0.5
FJI,2015,0
FJI,2016,0
FJI,2017,0
FJI,2018,0.24
FJI,2019,0.39
FJI,2020,0.38
FJI,2021,0.37
FJI,2022,0.39
FJI,2023,0.34
FJI,2024,0.34
FRA,2015,0.05
FRA,2016,0
FRA,2017,0
FRA,2018,0
FRA,2019,0
FRA,2020,0
FRA,2021,0
FRA,2022,0.58
FRA,2023,0.22
FRA,2024,0.13
GAB,2015,0.13
GAB,2016,0
GAB,2017,0.01
GAB,2018,0.04
GAB,2019,0.03
GAB,2020,0.03
GAB,2021,0.03
GAB,2022,0.04
GAB,2023,0.03
GAB,2024,0.02
GBR,2015,0
GBR,2016,0
GBR,2017,0
GBR,2018,0
GBR,2019,0
GBR,2020,0
GBR,2021,0.36
GBR,2022,0.49
GBR,2023,0.2
GBR,2024,0.16
GEO,2015,3.05
GEO,2016,3.38
GEO,2017,2.83
GEO,2018,3.95
GEO,2019,4.45
GEO,2020,4.48
GEO,2021,8.21
GEO,2022,14.04
GEO,2023,8.2
GEO,2024,7.3
GHA,2015,0
GHA,2016,0
GHA,2017,0
GHA,2018,0
GHA,2019,0.15
GHA,2020,0.96
GHA,2021,0.53
GHA,2022,0.36
GHA,2023,0.36
GHA,2024,0.35
GIN,2015,2.41
GIN,2016,3.21
GIN,2017,3.37
GIN,2018,1.8
GIN,2019,2.1
GIN,2020,2.04
GIN,2021,1.93
GIN,2022,1.93
GIN,2023,1.94
GIN,2024,1.95
GMB,2015,1.76
GMB,2016,2.51
GMB,2017,3
GMB,2018,3.39
GMB,2019,3.21
GMB,2020,3.34
GMB,2021,3.2
GMB,2022,3.2
GMB,2023,3.21
GMB,2024,3.26
GNB,2015,0
GNB,2016,0
GNB,2017,0.07
GNB,2018,0.08
GNB,2019,0.27
GNB,2020,0.24
GNB,2021,0.24
GNB,2022,0.26
GNB,2023,0.28
GNB,2024,0.23
GNQ,2015,0.02
GNQ,2016,0.01
GNQ,2017,0.03
GNQ,2018,0.04
GNQ,2019,0.17
GNQ,2020,0
GNQ,2021,0.13
GNQ,2022,0.89
GNQ,2023,0.41
GNQ,2024,0.23
GRC,2015,0.01
GRC,2016,0.01
GRC,2017,0.11
GRC,2018,0.39
GRC,2019,0.88
GRC,2020,0.86
GRC,2021,0.85
GRC,2022,0.92
GRC,2023,0.79
GRC,2024,0.78
GTM,2015,0
GTM,2016,0
GTM,2017,0
GTM,2018,0
GTM,2019,0.26
GTM,2020,0.33
GTM,2021,0.22
GTM,2022,0.21
GTM,2023,0.21
GTM,2024,0.2
GUY,2015,0.04
GUY,2016,0.22
GUY,2017,0.33
GUY,2018,0.6
GUY,2019,0.87
GUY,2020,0.72
GUY,2021,0.66
GUY,2022,0.54
GUY,2023,0.45
GUY,2024,0.42
HND,2015,0.56
HND,2016,0.76
HND,2017,1.09
HND,2018,1.36
HND,2019,1.08
HND,2020,1.05
HND,2021,1.03
HND,2022,1.13
HND,2023,1.08
HND,2024,1.08
HRV,2015,0.08
HRV,2016,0.09
HRV,2017,0.27
HRV,2018,0.12
HRV,2019,0.13
HRV,2020,0.15
HRV,2021,0.31
HRV,2022,0.71
HRV,2023,0.35
HRV,2024,0.3
HTI,2015,0
HTI,2016,0
HTI,2017,0
HTI,2018,0.12
HTI,2019,0.49
HTI,2020,0.09
HTI,2021,0.42
HTI,2022,1.11
HTI,2023,0.46
HTI,2024,0.29
HUN,2015,0.64
HUN,2016,0.43
HUN,2017,0.46
HUN,2018,1.4
HUN,2019,0.68
HUN,2020,0.66
HUN,2021,1.43
HUN,2022,3.5
HUN,2023,2.34
HUN,2024,1.97
IDN,2015,0.99
IDN,2016,0.92
IDN,2017,1.38
IDN,2018,3.36
IDN,2019,2.76
IDN,2020,1.91
IDN,2021,3.35
IDN,2022,5.76
IDN,2023,3.78
IDN,2024,3.02
IND,2015,0.37
IND,2016,0.29
IND,2017,0.74
IND,2018,1.06
IND,2019,0.93
IND,2020,0.9
IND,2021,0.91
IND,2022,0.98
IND,2023,0.98
IND,2024,0.98
IRL,2015,0
IRL,2016,0
IRL,2017,0
